peak_id,measured_mz,measure_rt,MF,isotope,adduct,score,group_id
8,166.0862229825,745.276,C9H11NO2,C9H11NO2,M+H,8.0,1
162,167.0893536266,745.276,C9H11NO2,C9H11NO2-isotope,M+H,8.0,1
1123,207.1126839154,746.656,C9H11NO2,C9H11NO2,M+ACN+H,8.0,1
3200,208.1159303826,746.656,C9H11NO2,C9H11NO2-isotope,M+ACN+H,8.0,1
28,269.0880831389,614.454,C10H12N4O5,C10H12N4O5,M+H,8.0,2
332,270.0912600975,614.454,C10H12N4O5,C10H12N4O5-isotope,M+H,8.0,2
204,537.169042626,614.454,C10H12N4O5,C10H12N4O5,2M+H,8.0,2
1989,539.1745022665,614.714,C10H12N4O5,C10H12N4O5-isotope,2M+H,8.0,2
41,118.0862052179,872.87,C5H11NO2,C5H11NO2,M+H,4.0,3
1440,159.1126597898,872.87,C5H11NO2,C5H11NO2,M+ACN+H,4.0,3
43,205.0971103631,787.402,C11H12N2O2,C11H12N2O2,M+H,5.0,4
372,206.1003717649,787.402,C11H12N2O2,C11H12N2O2-isotope,M+H,5.0,4
44,144.0654797113,557.726,C4H6O3,C4H6O3,M+ACN+H,5.0,5
618,145.0686958983,557.726,C4H6O3,C4H6O3-isotope,M+ACN+H,5.0,5
358,205.0707484037,556.267,C4H6O3,C4H6O3,2M+H,5.0,5
479,246.097121492,556.267,C4H6O3,C4H6O3,2M+ACN+H,5.0,5
61,132.1018297397,782.532,C6H13NO2,C6H13NO2,M+H,4.0,6
1151,173.1283023333,784.06,C6H13NO2,C6H13NO2,M+ACN+H,4.0,6
78,365.1055907785,749.412,C12H22O11,C12H22O11,M+Na,8.0,7
1539,367.109922688,748.982,C12H22O11,C12H22O11-isotope,M+Na,8.0,7
1912,381.0791832221,749.412,C12H22O11,C12H22O11,M+K,8.0,7
95,210.0794050429,821.988,C7H15NO4S,C7H15NO4S,M+H,5.0,8
875,441.1337192828,826.848,C7H15NO4S,C7H15NO4S,2M+Na,5.0,8
922,419.1518224792,825.994,C7H15NO4S,C7H15NO4S,2M+H,5.0,8
96,152.0705390067,801.036,C8H9NO2,C8H9NO2,M+H,6.0,9
764,153.0737871611,801.036,C8H9NO2,C8H9NO2-isotope,M+H,6.0,9
3041,193.0970601619,800.766,C8H9NO2,C8H9NO2,M+ACN+H,6.0,9
96,152.0705390067,801.036,C17H14N6,C17H14N6,M+2H,4.0,10
764,153.0737871611,801.036,C17H14N6,C17H14N6-isotope,M+2H,4.0,10
3041,193.0970601619,800.766,C17H14N6,C17H14N6,M+2ACN+2H,4.0,10
98,330.0599180336,895.974,C10H12N5O6P,C10H12N5O6P,M+H,4.0,11
1754,659.1116678441,895.974,C10H12N5O6P,C10H12N5O6P,2M+H,4.0,11
104,245.0760663289,538.211,C9H12N2O6,C9H12N2O6,M+H,6.0,12
751,246.0799710664,538.211,C9H12N2O6,C9H12N2O6-isotope,M+H,6.0,12
