Form,M_count,charge,mass,primary,ion,dimer
M-3H,1,3,-1.007276,0,M/3 - 1.007276,0
M-2H,1,2,-1.007276,0,M/2 - 1.007276,0
M-H2O-H,1,1,-19.01839,0,M- 19.01839,0
M-H,1,1,-1.007276,1,M - 1.007276,0
M+Na-2H,1,1,20.974666,1,M + 20.974666,0
M+Cl,1,1,34.969402,0,M + 34.969402,0
M+K-2H,1,1,36.948606,0,M + 36.948606,0
M+FA-H,1,1,44.998201,0,M + 44.998201,0
M+Hac-H,1,1,59.013851,0,M + 59.013851,0
M+Br,1,1,78.918885,0,M + 78.918885,0
M+TFA-H,1,1,112.985586,0,M + 112.985586,0
2M-H,2,1,-1.007276,1,2M - 1.007276,1
2M+FA-H,2,1,44.998201,0,2M + 44.998201,1
2M+Hac-H,2,1,59.013851,0,2M + 59.013851,1
3M-H,3,1,-1.007276,0,3M - 1.007276,1
