Form,M_count,charge,mass,primary,ion,dimer
M+3H,1,3,1.007276,0,M/3 + 1.007276,0
M+2H+Na,1,3,8.33459,0,M/3 + 8.334590,0
M+H+2Na,1,3,15.76619,0,M/3 + 15.7661904,0
M+3Na,1,3,22.989218,0,M/3 + 22.989218,0
M+2H,1,2,1.007276,0,M/2 + 1.007276,0
M+H+NH4,1,2,9.52055,0,M/2 + 9.520550,0
M+H+Na,1,2,11.998247,0,M/2 + 11.998247,0
M+H+K,1,2,19.985217,0,M/2 + 19.985217,0
M+ACN+2H,1,2,21.52055,0,M/2 + 21.520550,0
M+2Na,1,2,22.989218,0,M/2 + 22.989218,0
M+2ACN+2H,1,2,42.033823,0,M/2 + 42.033823,0
M+3ACN+2H,1,2,62.547097,0,M/2 + 62.547097,0
M+H,1,1,1.007276,1,M + 1.007276,0
M+NH4,1,1,18.033823,1,M + 18.033823,0
M+Na,1,1,22.989218,1,M + 22.989218,0
M+CH3OH+H,1,1,33.033489,0,M + 33.033489,0
M+K,1,1,38.963158,1,M + 38.963158,0
M+ACN+H,1,1,42.033823,0,M + 42.033823,0
M+2Na-H,1,1,44.97116,0,M + 44.971160,0
M+IsoProp+H,1,1,61.06534,0,M + 61.06534,0
M+ACN+Na,1,1,64.015765,0,M + 64.015765,0
M+2K-H,1,1,76.91904,0,M + 76.919040,0
M+DMSO+H,1,1,79.02122,0,M + 79.02122,0
M+2ACN+H,1,1,83.06037,0,M + 83.060370,0
M+IsoProp+Na+H,1,1,84.05511,0,M + 84.05511,0
2M+H,2,1,1.007276,1,2M + 1.007276,1
2M+NH4,2,1,18.033823,0,2M + 18.033823,1
2M+Na,2,1,22.989218,0,2M + 22.989218,1
2M+K,2,1,38.963158,0,2M + 38.963158,1
2M+ACN+H,2,1,42.033823,0,2M + 42.033823,1
2M+ACN+Na,2,1,64.015765,0,2M + 64.015765,1
