Form,M_count,charge,mass,primary,ion,dimer
M+2H,1,2,1.007276,0,M/2 + 1.007276,0
M+H+NH4,1,2,9.52055,0,M/2 + 9.520550,0
M+ACN+2H,1,2,21.52055,0,M/2 + 21.520550,0
M+2ACN+2H,1,2,42.033823,0,M/2 + 42.033823,0
M+H,1,1,1.007276,1,M + 1.007276,0
M+NH4,1,1,18.033823,1,M + 18.033823,0
M+Na,1,1,22.989218,1,M + 22.989218,0
M+CH3OH+H,1,1,33.033489,0,M + 33.033489,0
M+ACN+H,1,1,42.033823,0,M + 42.033823,0
M+ACN+Na,1,1,64.015765,0,M + 64.015765,0
M+2ACN+H,1,1,83.06037,0,M + 83.060370,0
2M+H,2,1,1.007276,1,2M + 1.007276,1
2M+Na,2,1,22.989218,0,2M + 22.989218,1
2M+ACN+H,2,1,42.033823,0,2M + 42.033823,1
